Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
4524,Bierbrouwerij De Koningshoeven,La Trappe Witte Trappist 0.33,330.0,Pieces,Netherlands,0.33,5.5
4415,,Labietis,,,,,
4876,,Labietis Aroniju Ragana 0.5,440.0,Pieces,,0.5,5.1
4875,,Labietis Mezs 0.5,420.0,Pieces,,0.5,5.5
3805,,Labietis Pelasku Velns 0.5,500.0,Pieces,,0.5,9.9
3804,,Labietis Pokainu Mezs 0.5,500.0,Pieces,,0.5,11.4
3801,,Labietis Virsaitis 0.5,450.0,Pieces,,0.5,6.0
3802,Bakunin,Labietis x Bakunin - BA Purva Medus 0.5,550.0,Pieces,Russia,0.5,6.5
3803,Bakunin,Labietis x Bakunin - Purva Medus 0.5,450.0,Pieces,Russia,0.5,6.5
3800,,Labietis Zintnieks 0.5,480.0,Pieces,,0.5,7.6
1377,,Lambic Boon 2Y Barrel 20l MARKETBIR,1120.0,Liters,,1.0,6.5
3160,,Lambiek Fabriek Oude Geuze Brett-Elle 0.75,2000.0,Pieces,,0.75,5.5
5066,,Lapochka Grapefruit Lemon 0.33,180.0,Pieces,,,
5262,,Lapochka Guava Kaffir Lime Leaves 0.33,180.0,Pieces,,,
5014,,Lapochka Mango Chili 0.33,180.0,Pieces,,,
658,,Last Leaf but.,250.0,Pieces,,,
1428,,Latgale - Lager Hell / lager,230.0,Pieces,,0.5,4.5
1518,,Latgale Lager Barrel,520.0,Liters,,1.0,4.5
3952,,Latvia,,,,,
1315,,Laugar,,,,,
1599,,LAUGAR AUPA TOVARISCH,480.0,Pieces,,0.33,12.0
1316,,"Laugar Basatia / imperial stout / 8% / 0,33",400.0,Pieces,,0.33,8.0
2037,,Laugar Block Tovarisch / 13%,480.0,Pieces,,0.33,13.0
3714,,Laugar Street Dogs 0.375,730.0,Pieces,,0.375,6.3
1704,,Le Cidre De Fouesnant / 5%,750.0,Pieces,,0.75,5.0
3557,,Le Clos Fleuri Cidre Artisanal 1.0L,500.0,Pieces,,1.0,4.5
77,,Le Paulmier,,,,,
2457,Le Paulmier,"Le Paulmier Cidre 0,75",1050.0,Pieces,France,0.75,3.5
3167,Le Paulmier,Le Paulmier Cidre Brut D'Artisan 0.275,300.0,Pieces,France,0.275,4.5
1020,Le Paulmier,"Le Paulmier Cidre du Bocage Rose aux baies / 0,375",650.0,Pieces,France,0.375,4.0
221,Le Paulmier,Le Paulmier Cidre du Bocage Rose Aux Baies / 5.3% / 0.75l,1100.0,Pieces,France,0.75,5.3
678,Le Paulmier,Le Paulmier Poiré du Bocage d'aubepines / poire / 3.5% / 0.75,1100.0,Pieces,France,0.75,3.5
3573,,Le Trou Du Diable,,,,,
3576,,Le Trou Du Diable Foudre 0.75,2000.0,Pieces,,0.75,5.5
3577,,Le Trou Du Diable La Bretteuse 0.75,2650.0,Pieces,,0.75,7.5
3575,,Le Trou Du Diable La Buteuse 0.75,2650.0,Pieces,,0.75,10.0
3574,,Le Trou Du Diable Le Herisson 0.75,2650.0,Pieces,,0.75,6.5
1060,,Lemonade,,,,,
552,,Lervig,,,,,
881,Lervig,Lervig 3 Bean / imperial stout,960.0,Liters,Norway,1.0,13.0
876,Lervig,Lervig 3 Bean / imperial stout / 0.but,480.0,Pieces,Norway,0.33,13.0
2864,Lervig,Lervig 3 Beans Stout Barrel 20L,1400.0,Liters,Norway,1.0,12.0
3292,Lervig,Lervig BarleyWine 0.33,1050.0,Pieces,Norway,0.33,12.9
4221,Lervig,Lervig Coconuts Barrel20,1480.0,Liters,Norway,1.0,12.5
2880,Lervig,Lervig Coconuts Imperial Stout 0.33,570.0,Pieces,Norway,0.33,12.5
2863,Lervig,Lervig Coconuts Imperial Stout Barrel 20L,1400.0,Liters,Norway,1.0,12.5
3439,Lervig,Lervig Dark Orbit Porter 0.33,430.0,Pieces,Norway,0.33,7.0
3701,Lervig,Lervig Dark Orbit Porter Barrel30,1040.0,Liters,Norway,1.0,7.0
551,Lervig,"Lervig Farmhouse IPA / IPA / 6% / 0,but.",370.0,Pieces,Norway,0.33,6.0
3713,Lervig,Lervig Hazy Days 0.5,650.0,Pieces,Norway,0.5,4.7
2886,Lervig,Lervig Hop Drop Sour 0.33,450.0,Pieces,Norway,0.33,6.2
4963,Lervig,Lervig Human Nature 0.33,450.0,Pieces,Norway,0.33,4.5
4218,Lervig,Lervig Infinite Timelines Barrel20,1400.0,Liters,Norway,1.0,7.5
666,Lervig,Lervig Konrad's Stout / oat.imperial stout / 10.4% / 0.33,270.0,Pieces,Norway,0.33,10.4
3290,Lervig,Lervig Konrads Stout 0.33,500.0,Pieces,Norway,0.33,10.4
3291,Lervig,Lervig Konrads Stout Barrel20,1280.0,Liters,Norway,1.0,10.4
2881,Lervig,Lervig Liquid Sex Robot 0.33,350.0,Pieces,Norway,0.33,7.9
877,Lervig,"Lervig Lucky Jack / APA / 4,7% / 0.but",320.0,Pieces,Norway,0.33,4.7
4964,Lervig,Lervig Lucky Jack 0.33,350.0,Pieces,Norway,0.33,4.7
875,Lervig,"Lervig Lucky Jack Black Edition / black IPA / 4,7% / 0.ban",320.0,Pieces,Norway,0.33,4.7
553,Lervig,"Lervig Lucky Jack Grapefruit Edition / APA / 4,7% / 0,zh/b",350.0,Pieces,Norway,0.33,4.7
4957,Lervig,Lervig Lucky Jack Grapefruit Edition 0.33,,Pieces,Norway,,
4222,Lervig,Lervig Medicine 0.33,610.0,Pieces,Norway,0.33,10.5
4223,Lervig,Lervig Nitro Latte 0.5,730.0,Pieces,Norway,0.5,6.0
878,Lervig,"Lervig Nordic Lean / fruit IPA / 7,4% / 0.but",400.0,Pieces,Norway,0.33,7.4
555,Lervig,"Lervig Norwegian Mauler / stout / 7,9% / 0,but.",420.0,Pieces,Norway,0.33,7.9
554,Lervig,"Lervig Passion Tang / sour/wild ale / 7% / 0,but.",370.0,Pieces,Norway,0.33,7.0
3428,Lervig,Lervig Pepper Johnson Barrel20,1480.0,Liters,Norway,1.0,11.5
2882,Lervig,Lervig Perler For Svin 0.33,470.0,Pieces,Norway,0.33,6.3
659,Lervig,Lervig Pop That Cherry / fruit beer / 6.5% / 0.75,1200.0,Pieces,Norway,0.75,6.5
4219,Lervig,Lervig Saskatoon Cheesecake Stout Barrel20,1280.0,Liters,Norway,1.0,12.0
